"wc2.0_bio_10m_01.tif" "wc2.0_bio_10m_02.tif" "wc2.0_bio_10m_03.tif" "wc2.0_bio_10m_04.tif" "wc2.0_bio_10m_05.tif" "wc2.0_bio_10m_06.tif" "wc2.0_bio_10m_07.tif" "wc2.0_bio_10m_08.tif" "wc2.0_bio_10m_09.tif" "wc2.0_bio_10m_10.tif" "wc2.0_bio_10m_11.tif" "wc2.0_bio_10m_12.tif" "wc2.0_bio_10m_13.tif" "wc2.0_bio_10m_14.tif" "wc2.0_bio_10m_15.tif" "wc2.0_bio_10m_16.tif" "wc2.0_bio_10m_17.tif" "wc2.0_bio_10m_18.tif" "wc2.0_bio_10m_19.tif"
"159" 10.0329062541326 8.17843731244405 24.8490310251179 920.659128635097 25.4689998626709 -7.44350004196167 32.9124999046326 19.384833017985 3.86425006389618 21.324333190918 -1.30425000190735 421 49 23 22.1538355487148 135 85 134 102
"16" 9.84203117092451 8.7226043343544 25.928685017079 929.230303506072 25.5752506256104 -8.06550025939941 33.6407508850098 19.3299166361491 -0.528291742006938 21.2091665267944 -1.61675008138021 438 53 24 23.2891356298133 144 89 143 101
"160" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"161" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"162" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"163" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"164" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"165" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"166" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"167" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"168" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"169" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"170" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"171" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"172" 10.3157312522332 8.23901382088661 25.7702558156392 890.004164315428 25.8522453308105 -6.11877536773682 31.9710206985474 21.4108842213949 4.16251689195633 21.4108842213949 -0.462312897046407 379 40 23 17.2849848606546 111 77 111 94
"173" 10.2927082777023 8.34190893173218 25.713642179034 904.136338241497 25.8235454559326 -6.61802339553833 32.4415688514709 19.5087208747864 4.14515501260757 21.4430715243022 -0.724951505661011 381 42 23 19.0964567057208 115 76 115 93
"174" 10.0090728724996 8.09922923147678 24.7125504697385 919.947372616689 25.4392490386963 -7.33449983596802 32.7737488746643 19.4270831743876 -0.256291667620341 21.2915833791097 -1.29162506262461 418 48 25 21.2810625344925 134 83 132 93
"175" 9.99748895317316 8.16975872218609 24.7363295411292 929.776188562989 25.5094738006592 -7.51789474487305 33.0273685455322 19.5021926561991 -0.353464881579081 21.3932015101115 -1.4043421347936 429 50 26 22.2617329097382 140 84 137 92
"176" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"177" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"178" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"179" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"180" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"181" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"182" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"183" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"184" 11.1683821994811 7.97303924585382 27.1029141118467 802.427682794019 25.8411750793457 -3.57647061347961 29.4176456928253 7.32156861573458 9.67549006144206 21.3578429222107 1.77549017220736 410 45 27 15.847974285006 113 82 111 109
"185" 10.9003962613642 7.88985166201989 26.9599984102321 801.978668237335 25.5153369903564 -3.7496931552887 29.2650301456451 7.05480572084586 9.37438651919365 21.0540901819865 1.52919225394726 418 46 27 15.6439060357967 117 83 111 112
"186" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"187" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"188" 10.2393021533887 8.77864596247673 26.8947434753916 893.499838202539 25.8229999542236 -6.81774997711182 32.6407499313354 19.4246668815613 0.282958408196767 21.2460837364197 -0.63379168510437 412 43 25 16.2954771084905 120 84 118 98
"189" 10.1081771403551 8.84427087505659 26.6924331339892 907.056414459391 25.714750289917 -7.41925001144409 33.1340003013611 19.4078334172567 0.00675006707509359 21.2683750788371 -0.971166610717773 419 45 25 17.5872796595583 127 83 124 95
"19" 9.78979181249936 8.98816667000453 26.7415417021964 917.856789033123 25.4710006713867 -8.14025020599365 33.6112508773804 19.2404170036316 -0.43262501557668 21.0879173278809 -1.43145831425985 432 48 26 19.3183527138607 136 84 132 93
"190" 9.54117703872422 9.19289552296201 26.9889118120985 923.502127478725 25.3339996337891 -8.72774982452393 34.061749458313 19.0025417009989 -0.780249993006388 20.884250164032 -1.77162496248881 432 50 25 21.7135637300105 141 82 137 91
"191" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"192" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"193" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"194" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"195" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"196" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"197" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"198" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"199" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" 11.2235137453924 8.1406921086212 27.1721879987214 802.006102823253 26.087718963623 -3.87192988395691 29.95964884758 3.70097471525272 9.72982474168142 21.4284601211548 1.7640351181229 415 46 29 14.89284599118 114 87 113 113
"20" 11.0890098412832 8.72006090482076 28.6022166834393 808.634620092225 26.2103939056396 -4.27696657180786 30.4873604774475 21.4093170166016 9.70655405521393 21.4093170166016 1.59035567442576 420 46 29 14.9822191658498 115 88 115 112
"200" 10.9528198639552 8.66978096961975 28.300854348304 816.937620413829 26.2525253295898 -4.38181829452515 30.634343624115 20.2594277064006 9.61565653483073 21.3114479382833 1.33316485087077 389 42 27 14.1204878307151 106 82 105 103
"201" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"202" 10.3125102818012 8.6729790965716 26.6097405973815 890.643809125826 25.994499206543 -6.59875011444092 32.5932493209839 19.3591245015462 0.42983333269755 21.4007496833801 -0.476250012715658 411 42 26 15.306965568618 119 84 118 96
"203" 10.0918541948001 9.19108335177104 27.3123487717807 908.030171510476 25.9307498931885 -7.72100019454956 33.651750087738 19.3945835431417 -0.0291666984558105 21.3226251602173 -0.968125104904175 417 44 26 15.6935972264173 124 84 122 95
"204" 9.71332297598322 9.69931249072154 27.8473813716811 923.058171590035 25.9409999847412 -8.88924980163574 34.830249786377 19.1700832049052 -0.618041714032491 21.1046252250671 -1.53958328564962 422 47 25 17.4009252092901 131 84 127 94
"205" 9.41948961963256 9.83231250941753 27.976617682387 925.35653424079 25.804500579834 -9.34025001525879 35.1447505950928 18.9856665929159 -0.938375075658162 20.790416876475 -1.87525010108948 431 50 25 19.4121380510697 138 86 134 97
"206" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"207" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"208" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"209" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"210" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"211" 10.7345930015047 6.54748064776262 24.5566225123686 750.890455248802 24.1813945770264 -2.48139524459839 26.6627898216248 3.87674435973167 8.86666665474574 20.1627904574076 1.99418610334396 535 70 35 22.105887876694 175 109 128 137
"212" 11.590220650658 7.38548127685984 25.3703737862216 784.638063924605 26.0560131072998 -3.05463910102844 29.1106522083282 4.02857960512241 10.0173540810744 21.4534940719604 2.27829322467248 450 55 29 19.1350716820219 140 90 114 132
"213" 11.6088235645245 7.59183004125953 25.3066508018764 800.80968148515 26.522876739502 -3.47647047042847 29.9993472099304 3.86655770490567 10.1274508635203 21.6565361022949 1.99901957064867 437 52 28 17.9630609757855 132 88 115 125
"214" 11.5589479555686 8.81014594435692 29.2715322953795 786.548631818159 26.6102504730225 -3.48775005340576 30.0980005264282 4.28541679183642 10.0662500361602 21.5964166323344 2.35579175750415 440 50 29 15.6996057212799 125 92 119 123
"215" 11.2085207576553 9.58029169340928 31.1812780881318 781.549420232437 26.4729995727539 -4.25150012969971 30.7244997024536 3.92687506477038 9.84620825449626 21.1233747800191 2.03000008066495 450 50 31 14.4192534977776 125 97 122 122
"216" 10.8774166852236 9.06008316079775 28.3568462025378 838.2366513729 26.4417495727539 -5.50850009918213 31.950249671936 19.4023750623067 4.75949996709824 21.447208404541 0.827374895413717 407 42 29 12.7179566852726 113 89 111 104
"217" 10.7715544650952 7.68157061934471 24.1478506966141 883.035448020798 26.1644229888916 -5.64615392684937 31.810576915741 19.5232370694478 4.49583335717519 21.8666666348775 0.134455025196075 385 39 27 12.9182111500013 108 83 105 97
"218" 10.2871458232403 9.03412526845932 27.1633574620567 898.661856992567 26.2497501373291 -7.00874996185303 33.2585000991821 19.4058332443237 0.265499989191691 21.508749961853 -0.584583322207133 401 43 26 15.1464172719346 120 82 117 92
"219" 9.96545848995447 9.64662504692872 28.1694402409735 909.051621972438 26.0370006561279 -8.20800018310547 34.2450008392334 19.2985003789266 -0.18666660785675 21.2537086804708 -1.06370830535889 408 45 26 16.1624407128354 125 82 121 91
"22" 9.62122912953297 9.77350016931693 27.7827921582538 933.886900901284 25.9300003051758 -9.24825000762939 35.1782503128052 19.2093750635783 -0.898541649182638 21.1896664301554 -1.75587503115336 416 47 26 17.2143527164653 130 84 125 93
"220" 9.58847918609778 9.42879163225492 26.992425794161 926.736576067601 25.9307498931885 -9.0004997253418 34.9312496185303 19.1688335736593 -0.905624945958455 21.0488333702087 -1.72054159641266 417 49 25 18.8634515067239 133 86 128 97
"221" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"222" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"223" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"224" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"225" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"226" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"227" 8.99395717928807 6.53986379007498 25.3098726451651 725.79585894321 21.83567237854 -4.00350856781006 25.8391809463501 2.36023389299711 17.4954191843669 18.1015596389771 0.550487359364828 737 106 46 27.3726978147393 252 148 160 198
"228" 9.82053110996882 8.42797911167145 29.2877150628598 761.955583575108 23.8697490692139 -4.90675020217896 28.7764992713928 2.55250000953674 8.51045823097229 19.3706661860148 0.853166659673055 586 70 40 17.2374323555483 176 128 153 170
"229" 11.0138646252453 8.84235431998968 29.8584435632882 775.931855377657 25.992000579834 -3.62225008010864 29.6142506599426 3.75674997270107 4.95583336551984 20.8340417544047 2.05112495521704 544 60 37 15.2149807964372 155 117 150 147
"23" 11.7825834229589 10.2017916291952 33.3310196591283 732.326649582543 26.8937492370605 -3.71375012397766 30.6074993610382 5.45108325282733 10.0994168122609 21.1318333943685 3.21508328119914 521 64 33 19.5910841764077 164 108 132 127
"230" 12.031083283325 10.4425834467014 33.807077276074 744.957279869131 27.2057495117188 -3.68300008773804 30.8887495994568 5.46574997901917 10.3590832451979 21.4637915293376 3.36437502503395 522 70 32 24.3259665442334 175 105 124 132
"231" 10.7186874945958 10.1307915846507 30.0231658273643 850.783412858332 26.4634990692139 -7.27974987030029 33.7432489395142 19.3168748219808 4.65304168065389 21.2461252212524 0.338541666666667 424 47 28 15.628187059712 124 92 116 112
"232" 10.544270892938 8.93312497933706 26.9870692044259 876.258761683165 25.8940010070801 -7.20749998092651 33.1015009880066 19.3958334922791 4.3499166170756 21.401208559672 -0.147500038146973 398 44 28 14.8629562502952 119 87 110 99
"233" 10.0488750189543 9.77150018016497 28.4135768761053 897.940344284308 26.1137504577637 -8.27649974822998 34.3902502059937 19.3019582430522 -0.137624939282735 21.2314999898275 -0.820333321889242 392 46 27 16.9135510990884 122 83 116 90
"234" 9.79630209381382 10.5844374224544 29.4685422020745 914.317072201999 26.6730003356934 -9.24475002288818 35.9177503585815 19.2724169095357 -0.531333367029826 21.1865835189819 -1.24245830376943 402 47 27 18.1014434736185 127 82 121 89
"235" 9.38270835205913 10.3892083143195 28.6296757850173 924.744502702672 26.3190002441406 -9.9692497253418 36.2882499694824 19.0277915000916 -1.21604164441427 20.7974581718445 -1.89879163106283 407 48 26 19.0936211682555 131 84 123 93
"236" 9.26629168353975 10.0907499281069 27.6925506819067 931.121354366218 26.3107490539551 -10.1277503967285 36.4384994506836 19.0213332176208 -1.40829157829285 20.733874797821 -2.09533333778381 418 50 26 20.1181426259222 136 87 129 97
"237" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"238" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"239" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"240" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"241" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"242" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"243" 11.2379309486908 7.80057474939774 26.9781956587987 776.795953659561 25.9304599761963 -2.98390793800354 28.9143679141998 3.92595789457361 9.41954009172817 21.1153254508972 2.27356324220697 565 68 37 17.3426776628047 170 124 144 165
